
+---------------------------------------------------------------------------+
|                                                                           |
|                             FINAL FANTASY II                              |
|                                                                           |
+---------------------------------------------------------------------------+
| file: ff2-npc.txt                                                         |
|                                                                           |
| description: npc/event switch list and npc script data                    |
|                                                                           |
| created: 11/10/2021                                                       |
|                                                                           |
| author: everything8215@gmail.com                                          |
+---------------------------------------------------------------------------+


=============================================================================
                          | npc/event switch list |
                          +-----------------------+

+----+-----------+---------+------------------------------------------------+
| id | sram/init | address |                  description                   |
| B7 | $6056.7 * | 0E/A3ED | leviathan npc 8                                |
| B8 | $6057.0 * | 0E/A3F1 | mysidia npc 1                                  |
| B9 | $6057.1 * | 0E/A3F1 | mysidia npc 2                                  |
| BA | $6057.2 * | 0E/A3F1 | mysidia npc 3                                  |
| BB | $6057.3 * | 0E/A3F1 | mysidia npc 4                                  |
| BC | $6057.4 * | 0E/A3F1 | mysidia npc 5                                  |
| BD | $6057.5 * | 0E/A3F1 | mysidia npc 6                                  |
| BE | $6057.6 * | 0E/A3F1 | mysidia npc 7                                  |
| BF | $6057.7 * | 0E/A3F1 | mysidia npc 8                                  |
+----+-----------+---------+------------------------------------------------+
| C0 | $6058.0 * |         | altair weapon shop                             |
| C1 | $6058.1 * |         | altair armor shop                              |
| C2 | $6058.2 * |         | altair magic shop                              |
| C3 | $6058.3   |         | altair mythril weapon shop                     |
| C4 | $6058.4   |         | altair mythril armor shop                      |
| C5 | $6058.5 * |         | gatrea weapon shop                             |
| C6 | $6058.6 * |         | gatrea armor shop                              |
| C7 | $6058.7 * |         | poft weapon shop                               |
| C8 | $6059.0 * |         | poft armor shop                                |
| C9 | $6059.1 * |         | poft magic shop                                |
| CA | $6059.2   |         | unknown mythril weapon shop                    |
| CB | $6059.3 * |         | salamand weapon shop                           |
| CC | $6059.4 * |         | salamand armor shop                            |
| CD | $6059.5 * |         | salamand magic shop                            |
| CE | $6059.6 * |         | bafsk weapon shop                              |
| CF | $6059.7 * |         | bafsk armor shop                               |
| D0 | $605A.0 * |         | bafsk magic shop                               |
| D1 | $605A.1   |         | fynn weapon shop                               |
| D2 | $605A.2   |         | fynn armor shop                                |
| D3 | $605A.3   |         | fynn magic shop                                |
| D4 | $605A.4 * |         | mysidia weapon shop                            |
| D5 | $605A.5 * |         | mysidia armor shop                             |
| D6 | $605A.6 * |         | mysidia magic shop                             |
| D7 | $605A.7 * |         | tropical island shop                           |
| D8 | $605B.0 * |         | item shop 1                                    |
| D9 | $605B.1 * |         | item shop 2                                    |
| DA | $605B.2 * |         | item shop 3                                    |
| DB | $605B.3 * |         | jade passage shop                              |
| DC | $605B.4 * |         | ship ferry                                     |
| DD | $605B.5 * |         | cid's airship ferry                            |
| DE | $605B.6 * |         | inn                                            |
| DF | $605B.7   |         | statue revive                                  |
+----+-----------+---------+------------------------------------------------+
| E0 | $605C.0 * |         | hilda                                          |
| E1 | $605C.1 * |         | minwu                                          |
| E2 | $605C.2   |         | maria                                          |
| E3 | $605C.3   |         | guy                                            |
| E4 | $605C.4   |         |                                                |
| E5 | $605C.5   |         | boulder                                        |
| E6 | $605C.6   |         | josef                                          |
| E7 | $605C.7   |         |                                                |
| E8 | $605D.0   |         | flame                                          |
| E9 | $605D.1   |         |                                                |
| EA | $605D.2 * |         |                                                |
| EB | $605D.3   |         |                                                |
| EC | $605D.4   |         |                                                |
| ED | $605D.5 * |         |                                                |
| EE | $605D.6   |         | behemoth                                       |
| EF | $605D.7   |         | dark knight                                    |
| F0 | $605E.0   |         | arena guard                                    |
| F1 | $605E.1   |         |                                                |
| F2 | $605E.2   |         | leon                                           |
| F3 | $605E.3   |         | paul                                           |
| F4 | $605E.4 * |         | prison guard                                   |
| F5 | $605E.5 * |         | hilda                                          |
| F6 | $605E.6   |         |                                                |
| F7 | $605E.7   |         |                                                |
| F8 | $605F.0   |         |                                                |
| F9 | $605F.1   |         |                                                |
| FA | $605F.2   |         | emperor                                        |
| FB | $605F.3   |         | flame                                          |
| FC | $605F.4   |         | ricard                                         |
| FD | $605F.5   |         | wyvern                                         |
| FE | $605F.6   |         | wyvern                                         |
| FF | $605F.7   |         |                                                |
+----+-----------+---------+------------------------------------------------+
